abâ	cloak / robe (Noun)
abađ	eternity / timelessness (Noun)
âbâđial	villages  (Noun (Plural) Complex)
abađi	eternal / everlasting (Adjective)
Abihud	Abihud (Biblical name) (Proper Noun)
Abiyâ	Abijah (Biblical name) (Proper Noun)
âbiyen	[Compound: +they became] (Verb Complex)
âbu	[Compound: +let it become] (Verb Complex)
âbun	[Compound: +let them become] (Verb Complex)
âdâb	manners / customs / etiquette / respect (Noun)
a	definite direct object marker (Object Marker)
âfarinanda	Creator (Noun)
âfarin	praise / well done / creation (Noun/Interjection)
âfariy	created (Verb (Past))
aftaw	sun / sunlight (Noun)
âgâh	aware / informed / vigilant (Adjective)
âǧâ	lord / master / sir (Noun)
Âhâz	Ahaz (Biblical name) (Proper Noun)
alaf	grass / weed (Noun)
alân	now / currently (Adverb)
âlemal	scholars / religious leaders / theologians (Noun (Plural) Complex)
âlem	scholar / learned person (Noun)
âmâđa	ready / prepared (Adjective)
âmâya	prepared / ready / coming (Adjective/Participle)
ambâr	barn / storehouse / granary (Noun)
Aminâdâb	Amminadab (Biblical name) (Proper Noun)
ammâ	but / however (Conjunction)
âmorzeš	forgiveness / absolution (Noun)
âmorziya	forgiven / pardoned (Verb (Passive))
âmorziyan	forgiving / to forgive (Noun/Infinitive)
âmorziyavâbi	was forgiven (Verb (Past Compound))
âmpândis		appendix (Noun)
Âmun	Amon (Biblical name) (Proper Noun)
Ânderyâs	Andrew (Biblical name) (Proper Noun)
andum		limb / member of the body (Noun)
angural	grapes / vineyards elements (Noun (Plural) Complex)
angur	grape / grapes (Noun)
anjir	fig / fig tree (Noun)
anjum	fulfillment / conclusion / end (Noun)
âqâ	lord / master / sir (Noun)
âqêbat	finally / eventually / consequence / end (Adverb/Noun)
ârd	flour (Noun)
Ârkelâus	Archelaus (Biblical name) (Proper Noun)
ârumâbi	became calm / quieted down (Verb (Past Compound))
ârum	calm / quiet / peaceful (Adjective)
arusi	wedding / marriage (Noun)
ârzu	wish / desire / hope (Noun)
Âsâ	Asa (Biblical name) (Proper Noun)
asal	honey (Noun)
âsamunal	skies / heavens (Noun (Plural) Complex)
âsamuni	heavenly / celestial (Adjective)
âsamun	sky / heaven (Noun)
âsiaw	mill / grinding stone (Noun)
âškâr	clear / obvious / manifest (Adjective)
âšofta	troubled / agitated / chaotic (Adjective)
âsun	easy (Adjective)
âsuntar	easier (Adjective (Comparative))
aval	first (Adjective/Numeral)
avalin	first (Adjective/Numeral)
âvâza	fame / report / reputation / rumor (Noun)
âvâza-š	his fame / reputation (Noun Complex)
âvord	brought / bore / gave birth (Verb (Past))
âvorde	brought / has brought (Verb/Participle)
âvorden	they brought / bore (Verb (Past Plural))
âvordom	I brought (Verb (Past 1st Sg))
awlâdal	children / descendants / offspring (Noun (Plural) Complex)
aw	water (Noun)
âxêr	end / last / final (Noun/Adjective)
âxêri	final / ultimate (Adjective)
Axim	Achim (Biblical name) (Proper Noun)
âyämal	people (Noun (Plural) Complex)
âyam	man / person / human being (Noun)
âzâyi		freedom (Noun)
azim	great / grand / immense (Adjective)
azimtar	greater / grander (Adjective (Comparative))
Âzur	Azor (Biblical name) (Proper Noun)
bâarzeš-i	a valuable item / precious entity (Noun/Adjective Complex)
bâarzeštar'it	you (plural) are more precious (Adjective Complex)
bâarzeštar	more valuable / more precious (Adjective (Comparative))
bâarzeš	valuable / precious (Adjective)
bâbatê	regarding / because of / on account of (Preposition)
bâbel	Babylon (Biblical location) (Proper Noun)
bača	child / baby (Noun)
